월,대여소번호,대여소명,대여구분,성별,연령대코드,이용건수,운동량,탄소량,이동거리,이용시간,연령구분
1,800,800. 목월공원 앞,0,1,4,2,176.71,1.38,5949.6,120,0
1,800,800. 목월공원 앞,1,0,0,2,120.28,1.08,4672.74,58,0
1,800,800. 목월공원 앞,2,0,1,6,535.0,4.34,18764.02,570,0
1,800,800. 목월공원 앞,2,0,2,14,1097.91,9.42,40631.75,379,1
1,800,800. 목월공원 앞,2,0,3,5,178.77,1.51,6497.15,140,1
1,800,800. 목월공원 앞,2,0,0,2,44.29,0.4,1720.82,119,0
1,800,800. 목월공원 앞,2,2,3,5,609.95,5.96,25690.59,247,1
1,800,800. 목월공원 앞,2,2,4,1,241.75,2.72,11740.0,96,0
1,800,800. 목월공원 앞,2,1,2,5,118.95,0.83,3624.63,47,1
1,800,800. 목월공원 앞,2,1,3,6,466.63,3.93,16909.32,216,1
1,800,800. 목월공원 앞,2,1,4,2,541.31,4.88,21030.0,234,0
1,800,800. 목월공원 앞,2,1,0,1,36.34,0.34,1480.0,8,0
1,800,800. 목월공원 앞,3,0,1,3,279.71,2.28,9810.13,325,0
1,800,800. 목월공원 앞,3,0,2,51,2756.15,19.33,83391.93,977,1
1,800,800. 목월공원 앞,3,0,3,44,4004.69,36.84,158755.03,1496,1
1,800,800. 목월공원 앞,3,0,4,12,1316.55,9.8,42235.54,315,0
1,800,800. 목월공원 앞,3,0,5,12,500.25,4.63,19949.02,417,0
1,800,800. 목월공원 앞,3,0,0,1,462.81,4.17,17980.0,89,0
1,800,800. 목월공원 앞,3,0,4,1,8.75,0.08,340.0,3,0
1,800,800. 목월공원 앞,3,2,2,27,975.35,10.57,45599.97,466,1
1,800,800. 목월공원 앞,3,2,3,19,661.75,7.08,30533.09,259,1
1,800,800. 목월공원 앞,3,2,4,7,70.24,0.64,2774.63,267,0
1,800,800. 목월공원 앞,3,2,5,30,1175.12,11.14,48029.05,443,0
1,800,800. 목월공원 앞,3,2,6,2,10.57,0.13,556.07,10,0
1,800,800. 목월공원 앞,3,2,0,13,52.85,0.49,2052.72,23,0
